,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
107026,City Hotel,0,37,2017,February,8,22,3,9,0,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,K,4,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2017-03-06
107027,City Hotel,0,2,2017,March,10,6,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,D,K,0,No Deposit,9.0,,0,Transient,0.0,0,0,Check-Out,2017-03-06
107033,City Hotel,0,0,2017,March,10,7,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,1,No Deposit,22.0,,0,Transient,0.0,0,0,Check-Out,2017-03-07
107154,City Hotel,0,51,2017,March,10,8,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2017-03-08
107157,City Hotel,0,0,2017,March,10,9,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,0,No Deposit,15.0,,0,Transient,0.0,0,0,Check-Out,2017-03-09
107510,City Hotel,0,17,2017,March,9,3,3,7,0,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,E,K,1,No Deposit,354.0,,0,Transient,0.0,0,0,Check-Out,2017-03-13
107543,City Hotel,0,0,2017,March,11,15,0,0,0,0.0,0,SC,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,0,No Deposit,132.0,,0,Transient,0.0,0,0,Check-Out,2017-03-15
107594,City Hotel,0,0,2017,March,9,4,4,7,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,K,5,No Deposit,9.0,,0,Transient,8.0,0,0,Check-Out,2017-03-15
107676,City Hotel,0,0,2017,March,11,17,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,0,Check-Out,2017-03-17
107977,City Hotel,0,0,2017,March,12,21,0,0,0,0.0,0,SC,GBR,Online TA,TA/TO,1,0,0,A,A,2,No Deposit,9.0,,0,Transient,0.0,1,1,Check-Out,2017-03-21
107992,City Hotel,0,0,2017,March,10,7,4,10,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,K,8,No Deposit,,,0,Transient,0.0,0,1,Check-Out,2017-03-21
108233,City Hotel,0,0,2017,March,12,24,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,C,0,No Deposit,155.0,,0,Transient,0.0,0,1,Check-Out,2017-03-24
108234,City Hotel,0,0,2017,March,12,24,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,G,0,No Deposit,86.0,,0,Transient,0.0,0,0,Check-Out,2017-03-24
109038,City Hotel,0,2,2017,March,10,9,8,19,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,G,K,14,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-04-05
109945,City Hotel,0,10,2017,April,15,14,2,3,0,0.0,0,SC,ESP,Direct,Direct,0,0,0,D,K,1,No Deposit,14.0,,0,Transient,0.0,0,1,Check-Out,2017-04-19
110280,City Hotel,1,132,2017,April,17,25,0,0,0,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,K,1,No Deposit,9.0,,0,Transient,0.0,0,3,Canceled,2017-04-25
110301,City Hotel,0,7,2017,April,16,20,2,3,0,0.0,0,SC,PRT,Corporate,Corporate,0,0,0,A,K,1,No Deposit,,460.0,0,Transient,0.0,0,1,Check-Out,2017-04-25
111027,City Hotel,0,0,2017,May,18,5,0,0,0,0.0,0,SC,PRT,Complementary,Direct,1,0,0,C,C,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-05-05
111042,City Hotel,0,17,2017,April,17,27,2,6,0,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,D,K,7,No Deposit,290.0,,0,Transient,0.0,0,0,Check-Out,2017-05-05
111406,City Hotel,0,33,2017,May,19,9,0,1,0,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,E,G,3,No Deposit,87.0,,0,Transient,200.0,0,0,Check-Out,2017-05-10
111531,City Hotel,0,35,2017,May,19,10,0,2,0,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,3,No Deposit,39.0,,0,Transient-Party,0.0,0,0,Check-Out,2017-05-12
111709,City Hotel,0,31,2017,May,20,14,0,0,0,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,D,2,No Deposit,459.0,,0,Transient-Party,0.0,0,0,Check-Out,2017-05-14
111710,City Hotel,0,6,2017,May,20,14,0,0,0,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,,169.0,0,Transient-Party,0.0,0,0,Check-Out,2017-05-14
111980,City Hotel,0,0,2017,May,20,17,0,1,0,0.0,0,SC,IND,Direct,Direct,0,0,0,A,K,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2017-05-18
112471,City Hotel,0,75,2017,May,20,20,2,2,0,0.0,0,SC,GBR,Groups,TA/TO,0,0,0,A,K,3,No Deposit,229.0,,0,Transient-Party,0.0,0,1,Check-Out,2017-05-24
112558,City Hotel,0,1,2017,May,21,23,0,2,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,K,2,No Deposit,,,0,Transient,0.0,1,0,Check-Out,2017-05-25
113188,City Hotel,0,0,2017,June,23,4,0,0,0,0.0,0,HB,PRT,Groups,TA/TO,1,0,0,A,K,0,No Deposit,229.0,,0,Transient-Party,0.0,0,1,Check-Out,2017-06-04
114583,City Hotel,0,26,2017,June,25,19,1,4,0,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,D,K,2,No Deposit,9.0,,0,Transient,90.0,0,1,Check-Out,2017-06-24
114908,City Hotel,0,1,2017,June,26,28,0,0,0,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,1,No Deposit,,153.0,0,Transient,0.0,0,0,Check-Out,2017-06-28
115029,City Hotel,0,107,2017,June,26,27,0,3,0,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Transient,100.8,0,0,Check-Out,2017-06-30
115091,City Hotel,0,1,2017,June,26,30,0,1,0,0.0,0,SC,PRT,Complementary,Direct,0,0,0,E,K,0,No Deposit,,,0,Transient,0.0,1,1,Check-Out,2017-07-01
116251,City Hotel,0,44,2017,July,28,15,1,1,0,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,425.0,,0,Transient,73.8,0,0,Check-Out,2017-07-17
116534,City Hotel,0,2,2017,July,28,15,2,5,0,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,9.0,,0,Transient-Party,22.86,0,1,Check-Out,2017-07-22
117087,City Hotel,0,170,2017,July,30,27,0,2,0,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52.0,,0,Transient,0.0,0,0,Check-Out,2017-07-29
